iter	Passed	Remaining
0	170	170655
1	173	86460
2	175	58378
3	178	44347
4	180	35972
5	183	30327
6	186	26458
7	189	23521
8	192	21212
9	194	19268
10	196	17691
11	198	16378
12	200	15251
13	204	14368
14	206	13559
15	209	12866
16	211	12238
17	214	11691
18	217	11215
19	219	10778
20	222	10359
21	224	10001
22	227	9666
23	230	9361
24	232	9051
25	234	8778
26	236	8520
27	238	8290
28	240	8056
29	242	7845
30	244	7650
31	247	7474
32	248	7294
33	251	7144
34	253	6986
35	255	6844
36	257	6709
37	259	6582
38	262	6472
39	265	6373
40	267	6257
41	269	6148
42	271	6046
43	273	5943
44	275	5842
45	276	5741
46	278	5646
47	280	5558
48	282	5475
49	283	5392
50	285	5307
51	287	5236
52	289	5174
53	291	5098
54	292	5031
55	294	4966
56	306	5072
57	311	5061
58	317	5061
59	319	5006
60	321	4948
61	323	4896
62	327	4864
63	329	4812
64	331	4762
65	333	4714
66	335	4667
67	336	4605
68	338	4563
69	344	4578
70	347	4545
71	349	4503
72	351	4465
73	354	4439
74	357	4412
75	359	4371
76	361	4328
77	362	4288
78	364	4247
79	365	4206
80	367	4166
81	369	4132
82	372	4115
83	374	4083
84	375	4044
85	377	4011
86	378	3974
87	380	3940
88	382	3920
89	386	3910
90	388	3881
91	389	3848
92	391	3816
93	392	3785
94	394	3753
95	395	3722
96	396	3693
97	399	3673
98	401	3654
99	403	3628
100	404	3599
101	405	3566
102	406	3539
103	408	3515
104	409	3490
105	410	3465
106	412	3442
107	415	3428
108	416	3405
109	417	3381
110	419	3357
111	420	3334
112	422	3312
113	423	3291
114	424	3270
115	426	3250
116	428	3237
117	431	3224
118	433	3205
119	434	3189
120	436	3170
121	438	3152
122	438	3129
123	440	3109
124	441	3092
125	444	3082
126	446	3066
127	446	3045
128	448	3027
129	449	3010
130	451	2992
131	452	2975
132	453	2959
133	455	2942
134	457	2928
135	459	2921
136	461	2906
137	462	2890
138	463	2873
139	465	2857
140	466	2841
141	467	2825
142	468	2809
143	469	2793
144	471	2782
145	474	2776
146	476	2766
147	478	2754
148	480	2742
149	481	2729
150	483	2716
151	484	2704
152	486	2691
153	487	2680
154	489	2670
155	492	2665
156	494	2654
157	495	2642
158	497	2630
159	498	2618
160	500	2607
161	501	2595
162	504	2588
163	506	2581
164	508	2572
165	509	2562
166	511	2551
167	513	2541
168	514	2529
169	516	2519
170	518	2513
171	520	2505
172	521	2494
173	523	2484
174	524	2474
175	526	2464
176	527	2454
177	529	2445
178	531	2436
179	533	2429
180	534	2417
181	536	2410
182	537	2401
183	539	2391
184	540	2382
185	542	2373
186	544	2365
187	545	2356
188	547	2348
189	549	2343
190	551	2337
191	553	2330
192	555	2322
193	557	2315
194	558	2307
195	560	2299
196	562	2291
197	563	2283
198	566	2279
199	568	2275
200	571	2270
201	573	2264
202	574	2256
203	576	2250
204	578	2245
205	581	2240
206	582	2232
207	584	2225
208	585	2217
209	587	2210
210	588	2202
211	590	2194
212	593	2191
213	595	2185
214	597	2181
215	598	2173
216	599	2164
217	601	2156
218	602	2147
219	603	2140
220	605	2133
221	607	2130
222	610	2125
223	611	2119
224	613	2111
225	614	2103
226	615	2097
227	617	2090
228	619	2084
229	621	2081
230	623	2077
231	625	2071
232	627	2064
233	628	2056
234	629	2049
235	630	2041
236	632	2034
237	633	2028
238	634	2021
239	637	2018
240	640	2017
241	642	2011
242	643	2004
243	644	1997
244	645	1990
245	647	1983
246	648	1976
247	649	1969
248	652	1966
249	654	1962
250	655	1956
251	657	1950
252	658	1944
253	660	1939
254	661	1933
255	663	1927
256	664	1922
257	667	1919
258	669	1915
259	670	1909
260	672	1902
261	673	1896
262	674	1890
263	675	1883
264	676	1877
265	678	1871
266	679	1865
267	681	1862
268	684	1859
269	685	1853
270	687	1848
271	688	1842
272	689	1837
273	691	1831
274	692	1826
275	694	1821
276	695	1815
277	697	1811
278	698	1805
279	700	1800
280	701	1794
281	702	1789
282	704	1783
283	705	1778
284	706	1773
285	708	1767
286	709	1763
287	711	1758
288	712	1753
289	714	1748
290	715	1743
291	717	1739
292	718	1734
293	720	1729
294	721	1724
295	723	1720
296	724	1715
297	726	1710
298	727	1706
299	729	1701
300	730	1696
301	732	1692
302	733	1687
303	735	1683
304	736	1678
305	738	1674
306	739	1669
307	741	1665
308	742	1660
309	743	1655
310	745	1651
311	746	1646
312	748	1641
313	749	1637
314	750	1632
315	752	1627
316	753	1623
317	754	1618
318	755	1613
319	757	1609
320	758	1604
321	759	1599
322	760	1594
323	762	1590
324	763	1585
325	764	1580
326	765	1575
327	766	1571
328	768	1566
329	769	1561
330	770	1557
331	771	1552
332	772	1548
333	774	1543
334	775	1538
335	776	1534
336	777	1529
337	778	1525
338	780	1521
339	781	1516
340	782	1512
341	784	1508
342	785	1504
343	786	1500
344	788	1496
345	790	1493
346	791	1489
347	793	1486
348	795	1483
349	796	1479
350	798	1476
351	800	1472
352	801	1469
353	803	1466
354	804	1462
355	806	1458
356	807	1455
357	809	1451
358	810	1447
359	812	1444
360	814	1440
361	815	1437
362	817	1433
363	818	1430
364	819	1426
365	821	1422
366	822	1419
367	824	1416
368	826	1412
369	827	1409
370	829	1406
371	831	1402
372	832	1399
373	834	1396
374	836	1393
375	837	1389
376	839	1386
377	840	1382
378	841	1379
379	843	1375
380	844	1372
381	846	1369
382	847	1365
383	849	1362
384	850	1358
385	851	1354
386	852	1351
387	854	1347
388	855	1343
389	857	1340
390	858	1337
391	860	1334
392	862	1331
393	863	1328
394	865	1325
395	867	1322
396	869	1319
397	870	1317
398	872	1314
399	874	1311
400	876	1308
401	877	1305
402	879	1302
403	881	1299
404	882	1296
405	884	1293
406	885	1290
407	887	1287
408	888	1284
409	889	1280
410	891	1277
411	892	1274
412	894	1271
413	895	1268
414	897	1265
415	899	1262
416	900	1259
417	902	1256
418	903	1252
419	905	1250
420	906	1247
421	908	1244
422	909	1241
423	911	1237
424	912	1235
425	914	1231
426	916	1229
427	917	1226
428	919	1223
429	920	1220
430	922	1217
431	923	1214
432	925	1211
433	926	1208
434	928	1206
435	930	1203
436	931	1200
437	933	1197
438	935	1195
439	937	1192
440	938	1190
441	940	1187
442	942	1185
443	945	1184
444	947	1181
445	949	1178
446	950	1176
447	952	1173
448	954	1170
449	955	1168
450	957	1165
451	959	1163
452	960	1160
453	962	1157
454	963	1154
455	965	1151
456	966	1148
457	968	1146
458	970	1143
459	971	1140
460	973	1138
461	974	1135
462	976	1132
463	977	1129
464	979	1126
465	980	1124
466	982	1121
467	983	1118
468	985	1115
469	986	1112
470	987	1109
471	988	1106
472	990	1103
473	991	1100
474	992	1097
475	994	1094
476	995	1091
477	997	1088
478	998	1086
479	1000	1083
480	1001	1080
481	1003	1078
482	1005	1076
483	1007	1074
484	1009	1071
485	1010	1069
486	1012	1067
487	1014	1064
488	1016	1062
489	1017	1059
490	1019	1056
491	1020	1053
492	1022	1051
493	1023	1048
494	1025	1046
495	1027	1044
496	1030	1042
497	1031	1040
498	1033	1037
499	1034	1034
500	1036	1032
501	1037	1029
502	1039	1026
503	1040	1024
504	1042	1022
505	1045	1020
506	1046	1017
507	1048	1015
508	1049	1012
509	1051	1010
510	1052	1007
511	1054	1004
512	1056	1002
513	1058	1000
514	1060	998
515	1061	996
516	1063	993
517	1065	991
518	1066	988
519	1068	985
520	1069	983
521	1072	981
522	1074	979
523	1076	977
524	1077	974
525	1078	972
526	1080	969
527	1082	967
528	1084	965
529	1087	964
530	1089	962
531	1091	960
532	1094	958
533	1095	955
534	1096	953
535	1098	951
536	1100	949
537	1102	946
538	1104	944
539	1106	942
540	1107	939
541	1108	936
542	1110	934
543	1112	932
544	1113	929
545	1116	928
546	1118	926
547	1119	923
548	1121	921
549	1122	918
550	1124	916
551	1125	913
552	1127	911
553	1129	909
554	1131	907
555	1133	905
556	1135	902
557	1136	900
558	1137	897
559	1139	895
560	1140	892
561	1143	890
562	1145	889
563	1148	887
564	1150	885
565	1151	883
566	1153	880
567	1154	878
568	1156	875
569	1157	873
570	1159	871
571	1161	869
572	1163	867
573	1165	864
574	1166	862
575	1168	859
576	1169	857
577	1170	854
578	1172	852
579	1173	850
580	1175	848
581	1178	846
582	1179	843
583	1182	842
584	1184	840
585	1186	838
586	1189	836
587	1191	835
588	1194	833
589	1197	831
590	1199	830
591	1200	827
592	1202	825
593	1204	823
594	1207	821
595	1209	819
596	1211	818
597	1213	815
598	1214	813
599	1216	811
600	1218	808
601	1219	806
602	1221	804
603	1223	802
604	1225	800
605	1226	797
606	1228	795
607	1229	792
608	1231	790
609	1233	788
610	1234	786
611	1236	783
612	1238	781
613	1240	779
614	1241	777
615	1242	774
616	1244	772
617	1246	770
618	1247	767
619	1249	765
620	1251	763
621	1253	761
622	1254	759
623	1256	757
624	1258	754
625	1259	752
626	1260	750
627	1262	747
628	1263	745
629	1266	743
630	1268	741
631	1269	739
632	1271	737
633	1272	734
634	1274	732
635	1276	730
636	1277	728
637	1280	726
638	1282	724
639	1284	722
640	1285	720
641	1287	717
642	1289	715
643	1290	713
644	1291	711
645	1293	708
646	1295	707
647	1298	705
648	1299	702
649	1301	700
650	1302	698
651	1303	695
652	1305	693
653	1307	691
654	1308	689
655	1311	687
656	1313	685
657	1315	683
658	1316	681
659	1317	678
660	1319	676
661	1320	674
662	1322	672
663	1323	669
664	1326	668
665	1328	666
666	1329	663
667	1331	661
668	1332	659
669	1334	657
670	1335	654
671	1337	652
672	1339	650
673	1341	648
674	1343	646
675	1345	644
676	1346	642
677	1348	640
678	1349	638
679	1351	635
680	1353	633
681	1355	631
682	1357	630
683	1358	627
684	1360	625
685	1361	623
686	1362	620
687	1364	618
688	1365	616
689	1366	614
690	1368	612
691	1371	610
692	1372	608
693	1373	605
694	1375	603
695	1376	601
696	1377	598
697	1379	596
698	1380	594
699	1382	592
700	1384	590
701	1386	588
702	1388	586
703	1389	584
704	1391	582
705	1392	579
706	1393	577
707	1394	575
708	1396	573
709	1397	570
710	1400	569
711	1402	567
712	1403	565
713	1405	562
714	1407	560
715	1408	558
716	1410	556
717	1411	554
718	1413	552
719	1415	550
720	1418	548
721	1419	546
722	1421	544
723	1422	542
724	1423	540
725	1425	537
726	1426	535
727	1428	533
728	1430	531
729	1432	529
730	1434	527
731	1435	525
732	1436	523
733	1438	521
734	1439	519
735	1441	516
736	1442	514
737	1445	513
738	1447	511
739	1449	509
740	1450	506
741	1451	504
742	1452	502
743	1454	500
744	1455	498
745	1457	496
746	1459	494
747	1461	492
748	1463	490
749	1464	488
750	1465	486
751	1467	483
752	1468	481
753	1470	479
754	1472	477
755	1474	476
756	1477	474
757	1478	472
758	1480	469
759	1481	467
760	1482	465
761	1484	463
762	1486	461
763	1488	459
764	1491	458
765	1493	456
766	1494	454
767	1495	451
768	1497	449
769	1499	447
770	1500	445
771	1502	443
772	1504	441
773	1506	439
774	1508	437
775	1509	435
776	1510	433
777	1512	431
778	1513	429
779	1515	427
780	1517	425
781	1520	423
782	1522	422
783	1524	420
784	1525	417
785	1527	415
786	1528	413
787	1530	411
788	1531	409
789	1533	407
790	1535	405
791	1537	403
792	1538	401
793	1539	399
794	1541	397
795	1542	395
796	1543	393
797	1545	391
798	1546	389
799	1548	387
800	1550	385
801	1552	383
802	1554	381
803	1555	379
804	1556	377
805	1557	374
806	1559	372
807	1560	370
808	1561	368
809	1563	366
810	1565	364
811	1568	363
812	1569	361
813	1571	358
814	1572	356
815	1573	354
816	1575	352
817	1576	350
818	1577	348
819	1580	346
820	1582	345
821	1584	343
822	1585	340
823	1586	338
824	1588	336
825	1590	334
826	1591	332
827	1593	330
828	1595	329
829	1597	327
830	1598	325
831	1600	323
832	1601	321
833	1602	319
834	1604	317
835	1605	315
836	1607	313
837	1610	311
838	1612	309
839	1613	307
840	1615	305
841	1616	303
842	1617	301
843	1619	299
844	1621	297
845	1623	295
846	1625	293
847	1627	291
848	1629	289
849	1630	287
850	1632	285
851	1635	284
852	1637	282
853	1638	280
854	1641	278
855	1643	276
856	1644	274
857	1646	272
858	1647	270
859	1649	268
860	1651	266
861	1654	264
862	1656	262
863	1658	261
864	1659	259
865	1661	257
866	1663	255
867	1664	253
868	1666	251
869	1668	249
870	1670	247
871	1672	245
872	1674	243
873	1675	241
874	1677	239
875	1678	237
876	1680	235
877	1682	233
878	1684	231
879	1686	229
880	1688	228
881	1689	226
882	1691	224
883	1693	222
884	1694	220
885	1695	218
886	1697	216
887	1699	214
888	1701	212
889	1703	210
890	1704	208
891	1705	206
892	1707	204
893	1708	202
894	1709	200
895	1711	198
896	1712	196
897	1714	194
898	1715	192
899	1716	190
900	1718	188
901	1720	186
902	1722	185
903	1724	183
904	1725	181
905	1727	179
906	1728	177
907	1729	175
908	1731	173
909	1732	171
910	1734	169
911	1735	167
912	1737	165
913	1738	163
914	1740	161
915	1741	159
916	1743	157
917	1744	155
918	1745	153
919	1746	151
920	1747	149
921	1749	147
922	1750	146
923	1752	144
924	1753	142
925	1755	140
926	1756	138
927	1758	136
928	1759	134
929	1761	132
930	1762	130
931	1764	128
932	1765	126
933	1766	124
934	1768	122
935	1769	121
936	1771	119
937	1772	117
938	1774	115
939	1775	113
940	1776	111
941	1777	109
942	1779	107
943	1780	105
944	1781	103
945	1782	101
946	1783	99
947	1785	97
948	1786	96
949	1788	94
950	1789	92
951	1791	90
952	1792	88
953	1794	86
954	1795	84
955	1796	82
956	1798	80
957	1799	78
958	1801	77
959	1802	75
960	1804	73
961	1805	71
962	1807	69
963	1808	67
964	1810	65
965	1812	63
966	1815	61
967	1816	60
968	1818	58
969	1819	56
970	1821	54
971	1822	52
972	1824	50
973	1825	48
974	1827	46
975	1828	44
976	1829	43
977	1830	41
978	1832	39
979	1833	37
980	1834	35
981	1836	33
982	1837	31
983	1838	29
984	1839	28
985	1840	26
986	1842	24
987	1843	22
988	1845	20
989	1846	18
990	1847	16
991	1849	14
992	1850	13
993	1852	11
994	1853	9
995	1854	7
996	1856	5
997	1857	3
998	1858	1
999	1860	0
